Web Search interest: cdec
Worldwide Sep-Oct 2015

Interest over time
Day,cdec
2015-09-01,57
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,47
2015-09-09,48
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,88
2015-09-16,44
2015-09-17,48
2015-09-18,52
2015-09-19,56
2015-09-20,60
2015-09-21,49
2015-09-22,56
2015-09-23,42
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,50
2015-09-30,41
2015-10-01,41
2015-10-02,58
2015-10-03,75
2015-10-04,97
2015-10-05,43
2015-10-06,41
2015-10-07,41
2015-10-08,46
2015-10-09,50
2015-10-10,55
2015-10-11,59
2015-10-12,55
2015-10-13,44
2015-10-14,44
2015-10-15,44
2015-10-16,72
2015-10-17,100
2015-10-18,96
2015-10-19,54
2015-10-20,50
2015-10-21,50
2015-10-22,50
2015-10-23,58
2015-10-24,53
2015-10-25,53
2015-10-26,94
2015-10-27,51
2015-10-28,52
2015-10-29,80
2015-10-30,0
2015-10-31,0



Top searches for cdec
cdec dota 2,100






