Web Search interest: evil geniuses
Worldwide Jan 2014 - Oct 2015

Interest over time
Week,evil geniuses
2014-01-05 - 2014-01-11,5
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,6
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,7
2014-03-02 - 2014-03-08,7
2014-03-09 - 2014-03-15,7
2014-03-16 - 2014-03-22,11
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,9
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,8
2014-06-01 - 2014-06-07,10
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,10
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,21
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,9
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,9
2014-08-17 - 2014-08-23,9
2014-08-24 - 2014-08-30,9
2014-08-31 - 2014-09-06,9
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,6
2014-10-05 - 2014-10-11,9
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,9
2014-10-26 - 2014-11-01,11
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,6
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,8
2014-12-07 - 2014-12-13,9
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,5
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,10
2015-01-11 - 2015-01-17,7
2015-01-18 - 2015-01-24,5
2015-01-25 - 2015-01-31,9
2015-02-01 - 2015-02-07,10
2015-02-08 - 2015-02-14,20
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,6
2015-03-01 - 2015-03-07,6
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,6
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,4
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,4
2015-06-14 - 2015-06-20,5
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,7
2015-07-26 - 2015-08-01,10
2015-08-02 - 2015-08-08,33
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,22
2015-08-23 - 2015-08-29,11
2015-08-30 - 2015-09-05,8
2015-09-06 - 2015-09-12,6
2015-09-13 - 2015-09-19,6
2015-09-20 - 2015-09-26,6
2015-09-27 - 2015-10-03,7
2015-10-04 - 2015-10-10,8
2015-10-11 - 2015-10-17,8
2015-10-18 - 2015-10-24,9
2015-10-25 - 2015-10-31,8


Top regions for evil geniuses
Region,evil geniuses
United States,100


Top cities for evil geniuses
Town/City,evil geniuses
Quezon City (Philippines),100
Singapore (Singapore),62
Kuala Lumpur (Malaysia),49
Jakarta (Indonesia),26



Top searches for evil geniuses
evil geniuses dota,100
team evil geniuses,40
evil genius,20
evil geniuses lol,20
team secret,10
evil geniuses league,10
evil geniuses twitter,10
sumail,10
sumail evil geniuses,10
evil geniuses dota2,10
evil geniuses fear,10
evil geniuses roster,10
evil geniuses ti5,5
evil geniuses wiki,5



Rising searches for evil geniuses
arteezy,Breakout
evil geniuses fear,Breakout
sumail,Breakout
sumail evil geniuses,Breakout
team secret,Breakout
evil geniuses dota,+400%
evil geniuses dota2,+350%
evil geniuses roster,+100%



