Web Search interest: natus vincere
Worldwide Jan 2014 - Oct 2015

Interest over time
Week,natus vincere
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,31
2014-02-02 - 2014-02-08,27
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,34
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,40
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,49
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,39
2014-04-06 - 2014-04-12,66
2014-04-13 - 2014-04-19,43
2014-04-20 - 2014-04-26,45
2014-04-27 - 2014-05-03,46
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,39
2014-05-18 - 2014-05-24,37
2014-05-25 - 2014-05-31,34
2014-06-01 - 2014-06-07,82
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,39
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,41
2014-07-06 - 2014-07-12,83
2014-07-13 - 2014-07-19,68
2014-07-20 - 2014-07-26,69
2014-07-27 - 2014-08-02,55
2014-08-03 - 2014-08-09,43
2014-08-10 - 2014-08-16,52
2014-08-17 - 2014-08-23,50
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,41
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,36
2014-09-21 - 2014-09-27,40
2014-09-28 - 2014-10-04,35
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,29
2014-12-07 - 2014-12-13,25
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,30
2014-12-28 - 2015-01-03,31
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,38
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,36
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,26
2015-03-01 - 2015-03-07,38
2015-03-08 - 2015-03-14,52
2015-03-15 - 2015-03-21,41
2015-03-22 - 2015-03-28,44
2015-03-29 - 2015-04-04,37
2015-04-05 - 2015-04-11,52
2015-04-12 - 2015-04-18,54
2015-04-19 - 2015-04-25,36
2015-04-26 - 2015-05-02,47
2015-05-03 - 2015-05-09,33
2015-05-10 - 2015-05-16,31
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,47
2015-05-31 - 2015-06-06,61
2015-06-07 - 2015-06-13,36
2015-06-14 - 2015-06-20,49
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,30
2015-07-12 - 2015-07-18,46
2015-07-19 - 2015-07-25,33
2015-07-26 - 2015-08-01,63
2015-08-02 - 2015-08-08,54
2015-08-09 - 2015-08-15,45
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,37
2015-08-30 - 2015-09-05,41
2015-09-06 - 2015-09-12,32
2015-09-13 - 2015-09-19,24
2015-09-20 - 2015-09-26,23
2015-09-27 - 2015-10-03,25
2015-10-04 - 2015-10-10,32
2015-10-11 - 2015-10-17,100
2015-10-18 - 2015-10-24,85
2015-10-25 - 2015-10-31,68


Top regions for natus vincere
Region,natus vincere
Philippines,100
Ukraine,72
Russia,53


Top cities for natus vincere
Town/City,natus vincere
Quezon City (Philippines),100
Kiev (Ukraine),74
Moscow (Russia),61
Jakarta (Indonesia),32



Top searches for natus vincere
natus vincere dota,100
navi natus vincere,100
natus vincere meaning,40
navi dota 2,15
natus vincere csgo,15
natus vincere wallpaper,10
natus vincere youtube,10



Rising searches for natus vincere
natus vincere csgo,Breakout
natus vincere wallpaper,+40%



