Web Search interest: vici gaming
Worldwide Jan 2014 - Oct 2015

Interest over time
Week,vici gaming
2014-01-05 - 2014-01-11,9
2014-01-12 - 2014-01-18,0
2014-01-19 - 2014-01-25,0
2014-01-26 - 2014-02-01,0
2014-02-02 - 2014-02-08,0
2014-02-09 - 2014-02-15,0
2014-02-16 - 2014-02-22,0
2014-02-23 - 2014-03-01,0
2014-03-02 - 2014-03-08,0
2014-03-09 - 2014-03-15,0
2014-03-16 - 2014-03-22,0
2014-03-23 - 2014-03-29,0
2014-03-30 - 2014-04-05,0
2014-04-06 - 2014-04-12,0
2014-04-13 - 2014-04-19,0
2014-04-20 - 2014-04-26,0
2014-04-27 - 2014-05-03,8
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,10
2014-05-18 - 2014-05-24,10
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,12
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,35
2014-07-20 - 2014-07-26,100
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,8
2014-08-17 - 2014-08-23,8
2014-08-24 - 2014-08-30,9
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,10
2014-09-14 - 2014-09-20,10
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,11
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,16
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,8
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,23
2014-12-14 - 2014-12-20,6
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,8
2015-01-18 - 2015-01-24,7
2015-01-25 - 2015-01-31,10
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,7
2015-04-05 - 2015-04-11,9
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,7
2015-06-14 - 2015-06-20,9
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,8
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,18
2015-08-02 - 2015-08-08,65
2015-08-09 - 2015-08-15,15
2015-08-16 - 2015-08-22,9
2015-08-23 - 2015-08-29,9
2015-08-30 - 2015-09-05,7
2015-09-06 - 2015-09-12,8
2015-09-13 - 2015-09-19,7
2015-09-20 - 2015-09-26,7
2015-09-27 - 2015-10-03,5
2015-10-04 - 2015-10-10,6
2015-10-11 - 2015-10-17,6
2015-10-18 - 2015-10-24,11
2015-10-25 - 2015-10-31,16




Top cities for vici gaming
Town/City,vici gaming
Singapore (Singapore),100



Top searches for vici gaming
vici gaming dota,100
newbee,30
vici gaming lol,15
newbee dota 2,10



Rising searches for vici gaming
newbee,Breakout
vici gaming lol,Breakout



