Web Search interest: virtus pro
Worldwide Jan 2014 - Oct 2015

Interest over time
Week,virtus pro
2014-01-05 - 2014-01-11,14
2014-01-12 - 2014-01-18,16
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,15
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,15
2014-03-02 - 2014-03-08,14
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,52
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,24
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,46
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,20
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,39
2014-08-03 - 2014-08-09,39
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,30
2014-08-24 - 2014-08-30,33
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,30
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,48
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,31
2014-10-12 - 2014-10-18,31
2014-10-19 - 2014-10-25,35
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,51
2014-11-09 - 2014-11-15,30
2014-11-16 - 2014-11-22,33
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,30
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,51
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,35
2015-01-11 - 2015-01-17,33
2015-01-18 - 2015-01-24,50
2015-01-25 - 2015-01-31,34
2015-02-01 - 2015-02-07,35
2015-02-08 - 2015-02-14,48
2015-02-15 - 2015-02-21,48
2015-02-22 - 2015-02-28,49
2015-03-01 - 2015-03-07,40
2015-03-08 - 2015-03-14,100
2015-03-15 - 2015-03-21,76
2015-03-22 - 2015-03-28,51
2015-03-29 - 2015-04-04,43
2015-04-05 - 2015-04-11,50
2015-04-12 - 2015-04-18,31
2015-04-19 - 2015-04-25,54
2015-04-26 - 2015-05-02,48
2015-05-03 - 2015-05-09,48
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,44
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,40
2015-06-28 - 2015-07-04,39
2015-07-05 - 2015-07-11,40
2015-07-12 - 2015-07-18,42
2015-07-19 - 2015-07-25,39
2015-07-26 - 2015-08-01,51
2015-08-02 - 2015-08-08,93
2015-08-09 - 2015-08-15,37
2015-08-16 - 2015-08-22,67
2015-08-23 - 2015-08-29,83
2015-08-30 - 2015-09-05,36
2015-09-06 - 2015-09-12,53
2015-09-13 - 2015-09-19,33
2015-09-20 - 2015-09-26,40
2015-09-27 - 2015-10-03,39
2015-10-04 - 2015-10-10,37
2015-10-11 - 2015-10-17,46
2015-10-18 - 2015-10-24,44
2015-10-25 - 2015-10-31,67


Top regions for virtus pro
Region,virtus pro
Poland,100
Belarus,74
Russia,74
Ukraine,53
Sweden,21
Germany,6
Italy,5
United Kingdom,3
United States,2


Top cities for virtus pro
Town/City,virtus pro
Bialystok (Poland),100
Rzeszow (Poland),88
Bydgoszcz (Poland),87
Szczecin (Poland),72
Lublin (Poland),70
Lodz (Poland),69
Katowice (Poland),68
Perm (Russia),63
Wroclaw (Poland),63
Poznan (Poland),62
Gdansk (Poland),62
Chelyabinsk (Russia),60
Cracow (Poland),58
Kharkiv (Ukraine),49
Ufa (Russia),46



Top searches for virtus pro
virtus pro cs,100
virtus pro vs,100
virtus pro dota,40
virtus pro fnatic,35
fnatic,35
csgo virtus pro,30
team virtus pro,30
navi virtus pro,25
virtus pro jove,20
jove,20
hltv virtus pro,15
virtus pro wot,15
virtus pro pasha,10
taz virtus pro,10
virtus pro моды,10
virtus pro neo,10
virtus pro youtube,10
envyus,10
virtus.pro,10
jove mod pack,10
virtus pro logo,10
koszulki virtus pro,5
virtus pro shop,5
virtus pro snax,5
snax,5
virtus pro polar,5
virtus pro facebook,5
состав virtus pro,5
koszulka virtus pro,5
virtus pro wallpaper,5
pashabiceps,5
hellraisers,5



Rising searches for virtus pro
csgo virtus pro,+700%
hltv virtus pro,+550%
fnatic,+250%
virtus pro cs,+250%
virtus pro fnatic,+250%
virtus pro vs,+120%
team virtus pro,+100%



