Web Search interest: virtus pro
Worldwide Jan-Feb 2015

Interest over time
Day,virtus pro
2015-01-01,30
2015-01-02,31
2015-01-03,29
2015-01-04,37
2015-01-05,36
2015-01-06,45
2015-01-07,39
2015-01-08,30
2015-01-09,37
2015-01-10,43
2015-01-11,36
2015-01-12,29
2015-01-13,19
2015-01-14,26
2015-01-15,46
2015-01-16,38
2015-01-17,74
2015-01-18,95
2015-01-19,46
2015-01-20,38
2015-01-21,60
2015-01-22,77
2015-01-23,38
2015-01-24,35
2015-01-25,39
2015-01-26,44
2015-01-27,32
2015-01-28,34
2015-01-29,29
2015-01-30,62
2015-01-31,39
2015-02-01,28
2015-02-02,41
2015-02-03,54
2015-02-04,26
2015-02-05,42
2015-02-06,33
2015-02-07,73
2015-02-08,33
2015-02-09,27
2015-02-10,100
2015-02-11,66
2015-02-12,47
2015-02-13,54
2015-02-14,43
2015-02-15,47
2015-02-16,71
2015-02-17,54
2015-02-18,70
2015-02-19,54
2015-02-20,34
2015-02-21,36
2015-02-22,50
2015-02-23,63
2015-02-24,57
2015-02-25,52
2015-02-26,66
2015-02-27,53
2015-02-28,46


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,59


Top cities for virtus pro
Town/City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
fnatic,100
virtus pro csgo,90






