Web Search interest: virtus pro
Worldwide Jul-Aug 2015

Interest over time
Day,virtus pro
2015-07-01,10
2015-07-02,19
2015-07-03,11
2015-07-04,26
2015-07-05,16
2015-07-06,11
2015-07-07,16
2015-07-08,18
2015-07-09,11
2015-07-10,10
2015-07-11,14
2015-07-12,12
2015-07-13,10
2015-07-14,20
2015-07-15,12
2015-07-16,13
2015-07-17,26
2015-07-18,19
2015-07-19,13
2015-07-20,15
2015-07-21,13
2015-07-22,9
2015-07-23,10
2015-07-24,16
2015-07-25,21
2015-07-26,33
2015-07-27,20
2015-07-28,16
2015-07-29,14
2015-07-30,14
2015-07-31,14
2015-08-01,15
2015-08-02,12
2015-08-03,13
2015-08-04,21
2015-08-05,35
2015-08-06,51
2015-08-07,83
2015-08-08,25
2015-08-09,21
2015-08-10,13
2015-08-11,11
2015-08-12,11
2015-08-13,12
2015-08-14,8
2015-08-15,15
2015-08-16,14
2015-08-17,8
2015-08-18,14
2015-08-19,13
2015-08-20,30
2015-08-21,23
2015-08-22,71
2015-08-23,100
2015-08-24,27
2015-08-25,18
2015-08-26,24
2015-08-27,22
2015-08-28,22
2015-08-29,23
2015-08-30,17
2015-08-31,10


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,55


Top cities for virtus pro
Town/City,virtus pro
Warsaw (Poland),100
Moscow (Russia),65



Top searches for virtus pro
virtus pro dota,100
fnatic,75
virtus pro csgo,45



Rising searches for virtus pro
virtus pro dota,+80%



