Web Search interest: dota2wiki
Worldwide Jan 2014 - Oct 2015

Interest over time
Week,dota2wiki
2014-01-05 - 2014-01-11,46
2014-01-12 - 2014-01-18,55
2014-01-19 - 2014-01-25,52
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,76
2014-02-09 - 2014-02-15,77
2014-02-16 - 2014-02-22,73
2014-02-23 - 2014-03-01,52
2014-03-02 - 2014-03-08,53
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,60
2014-03-23 - 2014-03-29,45
2014-03-30 - 2014-04-05,46
2014-04-06 - 2014-04-12,55
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,67
2014-05-04 - 2014-05-10,47
2014-05-11 - 2014-05-17,54
2014-05-18 - 2014-05-24,55
2014-05-25 - 2014-05-31,49
2014-06-01 - 2014-06-07,59
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,66
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,68
2014-07-06 - 2014-07-12,64
2014-07-13 - 2014-07-19,77
2014-07-20 - 2014-07-26,87
2014-07-27 - 2014-08-02,70
2014-08-03 - 2014-08-09,65
2014-08-10 - 2014-08-16,41
2014-08-17 - 2014-08-23,45
2014-08-24 - 2014-08-30,39
2014-08-31 - 2014-09-06,49
2014-09-07 - 2014-09-13,40
2014-09-14 - 2014-09-20,42
2014-09-21 - 2014-09-27,61
2014-09-28 - 2014-10-04,42
2014-10-05 - 2014-10-11,52
2014-10-12 - 2014-10-18,35
2014-10-19 - 2014-10-25,42
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,64
2014-11-23 - 2014-11-29,41
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,37
2014-12-14 - 2014-12-20,39
2014-12-21 - 2014-12-27,43
2014-12-28 - 2015-01-03,40
2015-01-04 - 2015-01-10,46
2015-01-11 - 2015-01-17,35
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,49
2015-02-01 - 2015-02-07,62
2015-02-08 - 2015-02-14,85
2015-02-15 - 2015-02-21,64
2015-02-22 - 2015-02-28,69
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,55
2015-03-22 - 2015-03-28,35
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,32
2015-04-19 - 2015-04-25,34
2015-04-26 - 2015-05-02,52
2015-05-03 - 2015-05-09,64
2015-05-10 - 2015-05-16,42
2015-05-17 - 2015-05-23,40
2015-05-24 - 2015-05-30,52
2015-05-31 - 2015-06-06,49
2015-06-07 - 2015-06-13,44
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,40
2015-06-28 - 2015-07-04,37
2015-07-05 - 2015-07-11,30
2015-07-12 - 2015-07-18,30
2015-07-19 - 2015-07-25,41
2015-07-26 - 2015-08-01,35
2015-08-02 - 2015-08-08,40
2015-08-09 - 2015-08-15,36
2015-08-16 - 2015-08-22,0
2015-08-23 - 2015-08-29,0
2015-08-30 - 2015-09-05,0
2015-09-06 - 2015-09-12,0
2015-09-13 - 2015-09-19,0
2015-09-20 - 2015-09-26,36
2015-09-27 - 2015-10-03,35
2015-10-04 - 2015-10-10,35
2015-10-11 - 2015-10-17,35
2015-10-18 - 2015-10-24,33
2015-10-25 - 2015-10-31,29









