Web Search interest: dotabuff
Worldwide May-Jun 2015

Interest over time
Day,dotabuff
2015-05-01,90
2015-05-02,98
2015-05-03,99
2015-05-04,79
2015-05-05,80
2015-05-06,68
2015-05-07,78
2015-05-08,89
2015-05-09,100
2015-05-10,91
2015-05-11,84
2015-05-12,90
2015-05-13,74
2015-05-14,77
2015-05-15,77
2015-05-16,91
2015-05-17,94
2015-05-18,77
2015-05-19,74
2015-05-20,73
2015-05-21,73
2015-05-22,72
2015-05-23,86
2015-05-24,97
2015-05-25,75
2015-05-26,70
2015-05-27,68
2015-05-28,64
2015-05-29,76
2015-05-30,88
2015-05-31,93
2015-06-01,73
2015-06-02,73
2015-06-03,79
2015-06-04,82
2015-06-05,83
2015-06-06,91
2015-06-07,87
2015-06-08,73
2015-06-09,78
2015-06-10,73
2015-06-11,74
2015-06-12,73
2015-06-13,85
2015-06-14,82
2015-06-15,64
2015-06-16,66
2015-06-17,66
2015-06-18,61
2015-06-19,63
2015-06-20,80
2015-06-21,77
2015-06-22,67
2015-06-23,78
2015-06-24,69
2015-06-25,78
2015-06-26,73
2015-06-27,86
2015-06-28,87
2015-06-29,78
2015-06-30,71


Top regions for dotabuff
Region,dotabuff
Russia,100
Malaysia,81
Ukraine,80
United States,6


Top cities for dotabuff
Town/City,dotabuff
Singapore (Singapore),100
Saint Petersburg (Russia),88
Moscow (Russia),81
Kiev (Ukraine),52
Kuala Lumpur (Malaysia),49
Melbourne (Australia),24
Jakarta (Indonesia),13



Top searches for dotabuff
dotabuff dendi,100
arteezy dotabuff,90






