Web Search interest: joindota
Worldwide May-Jun 2015

Interest over time
Day,joindota
2015-05-01,46
2015-05-02,60
2015-05-03,55
2015-05-04,49
2015-05-05,52
2015-05-06,60
2015-05-07,58
2015-05-08,46
2015-05-09,52
2015-05-10,57
2015-05-11,49
2015-05-12,44
2015-05-13,50
2015-05-14,54
2015-05-15,58
2015-05-16,66
2015-05-17,79
2015-05-18,54
2015-05-19,45
2015-05-20,45
2015-05-21,50
2015-05-22,62
2015-05-23,61
2015-05-24,49
2015-05-25,63
2015-05-26,63
2015-05-27,56
2015-05-28,50
2015-05-29,75
2015-05-30,78
2015-05-31,71
2015-06-01,56
2015-06-02,37
2015-06-03,54
2015-06-04,62
2015-06-05,71
2015-06-06,100
2015-06-07,84
2015-06-08,36
2015-06-09,43
2015-06-10,27
2015-06-11,37
2015-06-12,36
2015-06-13,44
2015-06-14,52
2015-06-15,52
2015-06-16,27
2015-06-17,28
2015-06-18,52
2015-06-19,31
2015-06-20,63
2015-06-21,66
2015-06-22,27
2015-06-23,29
2015-06-24,38
2015-06-25,30
2015-06-26,33
2015-06-27,32
2015-06-28,33
2015-06-29,26
2015-06-30,25


Top regions for joindota
Region,joindota
Peru,100


Top cities for joindota
Town/City,joindota
Singapore (Singapore),100



Top searches for joindota
joindota league,100
gosugamers,80






