Web Search interest: monkey business
Worldwide Nov-Dec 2014

Interest over time
Day,monkey business
2014-11-01,0
2014-11-02,86
2014-11-03,56
2014-11-04,85
2014-11-05,59
2014-11-06,77
2014-11-07,92
2014-11-08,99
2014-11-09,71
2014-11-10,80
2014-11-11,69
2014-11-12,80
2014-11-13,67
2014-11-14,77
2014-11-15,74
2014-11-16,78
2014-11-17,77
2014-11-18,72
2014-11-19,94
2014-11-20,60
2014-11-21,83
2014-11-22,92
2014-11-23,72
2014-11-24,54
2014-11-25,72
2014-11-26,68
2014-11-27,66
2014-11-28,57
2014-11-29,83
2014-11-30,91
2014-12-01,69
2014-12-02,66
2014-12-03,90
2014-12-04,93
2014-12-05,81
2014-12-06,80
2014-12-07,100
2014-12-08,57
2014-12-09,74
2014-12-10,76
2014-12-11,79
2014-12-12,83
2014-12-13,82
2014-12-14,88
2014-12-15,78
2014-12-16,55
2014-12-17,67
2014-12-18,67
2014-12-19,77
2014-12-20,82
2014-12-21,68
2014-12-22,64
2014-12-23,71
2014-12-24,84
2014-12-25,83
2014-12-26,73
2014-12-27,96
2014-12-28,80
2014-12-29,94
2014-12-30,73
2014-12-31,75









