Web Search interest: magica 2
Worldwide Mar-Apr 2015

Interest over time
Day,magica 2
2015-03-01,71
2015-03-02,48
2015-03-03,67
2015-03-04,38
2015-03-05,56
2015-03-06,79
2015-03-07,94
2015-03-08,91
2015-03-09,63
2015-03-10,56
2015-03-11,63
2015-03-12,41
2015-03-13,43
2015-03-14,92
2015-03-15,100
2015-03-16,64
2015-03-17,58
2015-03-18,45
2015-03-19,52
2015-03-20,39
2015-03-21,86
2015-03-22,74
2015-03-23,62
2015-03-24,48
2015-03-25,45
2015-03-26,51
2015-03-27,57
2015-03-28,67
2015-03-29,58
2015-03-30,43
2015-03-31,46
2015-04-01,43
2015-04-02,45
2015-04-03,41
2015-04-04,54
2015-04-05,60
2015-04-06,57
2015-04-07,53
2015-04-08,33
2015-04-09,40
2015-04-10,50
2015-04-11,56
2015-04-12,63
2015-04-13,33
2015-04-14,29
2015-04-15,29
2015-04-16,39
2015-04-17,42
2015-04-18,55
2015-04-19,69
2015-04-20,37
2015-04-21,43
2015-04-22,35
2015-04-23,30
2015-04-24,50
2015-04-25,59
2015-04-26,55
2015-04-27,54
2015-04-28,38
2015-04-29,42
2015-04-30,34



Top searches for magica 2
ars magica 2,100
ars magica,95
madoka magica,15






