Web Search interest: magica 2
Worldwide Nov-Dec 2015

Interest over time
Day,magica 2
2015-11-01,87
2015-11-02,77
2015-11-03,67
2015-11-04,86
2015-11-05,66
2015-11-06,77
2015-11-07,96
2015-11-08,95
2015-11-09,69
2015-11-10,58
2015-11-11,60
2015-11-12,60
2015-11-13,66
2015-11-14,72
2015-11-15,72
2015-11-16,48
2015-11-17,52
2015-11-18,55
2015-11-19,49
2015-11-20,83
2015-11-21,60
2015-11-22,63
2015-11-23,55
2015-11-24,55
2015-11-25,55
2015-11-26,55
2015-11-27,57
2015-11-28,74
2015-11-29,57
2015-11-30,44
2015-12-01,49
2015-12-02,47
2015-12-03,65
2015-12-04,82
2015-12-05,100
2015-12-06,89
2015-12-07,53
2015-12-08,57
2015-12-09,60
2015-12-10,63
2015-12-11,65
2015-12-12,79
2015-12-13,69
2015-12-14,69
2015-12-15,70
2015-12-16,46
2015-12-17,47
2015-12-18,67
2015-12-19,60
2015-12-20,93
2015-12-21,74
2015-12-22,56
2015-12-23,68
2015-12-24, 
2015-12-25, 



Top searches for magica 2
ars magica 2,100
ars magica,100






