Web Search interest: magicka 2 pc
Worldwide Jan 2009 - Jul 2015

Interest over time
Month,magicka 2 pc
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,50
2011-02,100
2011-03,70
2011-04,64
2011-05,46
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,42
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,42
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,27
2013-11,30
2013-12,34
2014-01,36
2014-02,39
2014-03,40
2014-04,42
2014-05,43
2014-06,45
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,38
2015-01,25
2015-02,25
2015-03,25
2015-04,26
2015-05,87
2015-06,84
2015-07,49









