Web Search interest: beta overwatch
Worldwide Jul-Aug 2015

Interest over time
Day,beta overwatch
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,17
2015-07-09,16
2015-07-10,17
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,18
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,22
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,76
2015-08-06,100
2015-08-07,78
2015-08-08,86
2015-08-09,65
2015-08-10,50
2015-08-11,55
2015-08-12,42
2015-08-13,37
2015-08-14,36
2015-08-15,36
2015-08-16,42
2015-08-17,40
2015-08-18,35
2015-08-19,37
2015-08-20,30
2015-08-21,26
2015-08-22,31
2015-08-23,30
2015-08-24,33
2015-08-25,25
2015-08-26,28
2015-08-27,29
2015-08-28,34
2015-08-29,25
2015-08-30,37
2015-08-31,21



Top searches for beta overwatch
overwatch beta release,100
overwatch beta date,85
overwatch release date,65
overwatch beta key,60






