Web Search interest: overwatch release
Worldwide Sep-Oct 2015

Interest over time
Day,overwatch release
2015-09-01,19
2015-09-02,15
2015-09-03,17
2015-09-04,20
2015-09-05,21
2015-09-06,26
2015-09-07,20
2015-09-08,17
2015-09-09,18
2015-09-10,22
2015-09-11,22
2015-09-12,19
2015-09-13,23
2015-09-14,24
2015-09-15,18
2015-09-16,17
2015-09-17,15
2015-09-18,17
2015-09-19,20
2015-09-20,22
2015-09-21,16
2015-09-22,20
2015-09-23,26
2015-09-24,22
2015-09-25,24
2015-09-26,21
2015-09-27,29
2015-09-28,23
2015-09-29,21
2015-09-30,23
2015-10-01,17
2015-10-02,22
2015-10-03,28
2015-10-04,26
2015-10-05,15
2015-10-06,26
2015-10-07,20
2015-10-08,13
2015-10-09,20
2015-10-10,24
2015-10-11,23
2015-10-12,23
2015-10-13,23
2015-10-14,27
2015-10-15,24
2015-10-16,18
2015-10-17,24
2015-10-18,24
2015-10-19,27
2015-10-20,21
2015-10-21,19
2015-10-22,20
2015-10-23,21
2015-10-24,32
2015-10-25,30
2015-10-26,36
2015-10-27,100
2015-10-28,80
2015-10-29,67
2015-10-30,68
2015-10-31,59


Top regions for overwatch release
Region,overwatch release
United States,100





Top searches for overwatch release
overwatch release date,100
overwatch beta release,45
overwatch beta,45






