Web Search interest: overwatch release
Worldwide Nov-Dec 2015

Interest over time
Day,overwatch release
2015-11-01,63
2015-11-02,65
2015-11-03,57
2015-11-04,48
2015-11-05,45
2015-11-06,78
2015-11-07,100
2015-11-08,72
2015-11-09,58
2015-11-10,50
2015-11-11,32
2015-11-12,29
2015-11-13,27
2015-11-14,24
2015-11-15,33
2015-11-16,21
2015-11-17,22
2015-11-18,21
2015-11-19,24
2015-11-20,26
2015-11-21,42
2015-11-22,39
2015-11-23,36
2015-11-24,29
2015-11-25,22
2015-11-26,21
2015-11-27,22
2015-11-28,28
2015-11-29,25
2015-11-30,24
2015-12-01,22
2015-12-02,20
2015-12-03,22
2015-12-04,20
2015-12-05,23
2015-12-06,25
2015-12-07,24
2015-12-08,24
2015-12-09,15
2015-12-10,20
2015-12-11,17
2015-12-12,24
2015-12-13,20
2015-12-14,17
2015-12-15,20
2015-12-16,25
2015-12-17,18
2015-12-18,18
2015-12-19,24
2015-12-20,22
2015-12-21,27
2015-12-22,0
2015-12-23,0
2015-12-24, 
2015-12-25, 


Top regions for overwatch release
Region,overwatch release
United States,100





Top searches for overwatch release
overwatch release date,100
overwatch beta,20
overwatch beta release,20



Rising searches for overwatch release
overwatch ps4,Breakout



