Web Search interest: overwatch release
Worldwide Jan-Feb 2015

Interest over time
Week,overwatch release
2015-01-04 - 2015-01-10,86
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,100
2015-01-25 - 2015-01-31,88
2015-02-01 - 2015-02-07,81
2015-02-08 - 2015-02-14,67
2015-02-15 - 2015-02-21,80
2015-02-22 - 2015-02-28,87



Top searches for overwatch release
overwatch release date,100
overwatch beta release,30
overwatch beta,30



Rising searches for overwatch release
overwatch beta release,+40%



