Web Search interest: overwatch
Worldwide May-Jun 2014

Interest over time
Day,overwatch
2014-05-01,58
2014-05-02,54
2014-05-03,61
2014-05-04,84
2014-05-05,60
2014-05-06,47
2014-05-07,47
2014-05-08,50
2014-05-09,51
2014-05-10,58
2014-05-11,55
2014-05-12,53
2014-05-13,40
2014-05-14,64
2014-05-15,57
2014-05-16,57
2014-05-17,66
2014-05-18,72
2014-05-19,48
2014-05-20,49
2014-05-21,54
2014-05-22,59
2014-05-23,70
2014-05-24,79
2014-05-25,79
2014-05-26,62
2014-05-27,51
2014-05-28,51
2014-05-29,74
2014-05-30,58
2014-05-31,67
2014-06-01,76
2014-06-02,45
2014-06-03,55
2014-06-04,63
2014-06-05,52
2014-06-06,74
2014-06-07,60
2014-06-08,100
2014-06-09,53
2014-06-10,52
2014-06-11,44
2014-06-12,76
2014-06-13,54
2014-06-14,54
2014-06-15,59
2014-06-16,81
2014-06-17,69
2014-06-18,54
2014-06-19,74
2014-06-20,85
2014-06-21,82
2014-06-22,68
2014-06-23,50
2014-06-24,52
2014-06-25,58
2014-06-26,65
2014-06-27,70
2014-06-28,90
2014-06-29,100
2014-06-30,73



Top searches for overwatch
dayz overwatch,100
csgo overwatch,35



Rising searches for overwatch
dayz overwatch,+60%



