Web Search interest: overwatch
Worldwide Mar-Apr 2012

Interest over time
Week,overwatch
2012-03-04 - 2012-03-10,40
2012-03-11 - 2012-03-17,52
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,100
2012-04-01 - 2012-04-07,23
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,17
2012-04-22 - 2012-04-28,16
2012-04-29 - 2012-05-05,17



Top searches for overwatch
overwatch mw3,100
overwatch ps3,85
mw3 overwatch ps3,45



Rising searches for overwatch
mw3 overwatch ps3,Breakout
overwatch ps3,+700%



