Poland,0
Chile,157
Canada,15
Bulgaria,136
Australia,584
Uruguay,702
The Netherlands,85
New Zealand,661
Germany,632
Switzerland,758
Japan,151
Colombia,458
South Korea,761
Bolivia,277
Norway,492
Brasil,470
Latvia,219
Finland,1119
Sweden,844
Vietnam,86
Israel,544
United States,388
Mexico,130
Austria,1094
United Arab Emirates,6
Paraguay,683
Slovakia,450
Montenegro,144
Italy,419
India,327
Venezuela,45
China,15
Philippines,153
Indonesia,1010
Belgium,287
Greece,1407
Serbia,0
Thailand,21
