Web Search interest: cdec
Worldwide Jan-Feb 2015

Interest over time
Day,cdec
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,94
2015-01-06,46
2015-01-07,48
2015-01-08,49
2015-01-09,51
2015-01-10,52
2015-01-11,76
2015-01-12,100
2015-01-13,69
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,56
2015-01-30,70
2015-01-31,58
2015-02-01,51
2015-02-02,51
2015-02-03,66
2015-02-04,46
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,52
2015-02-11,41
2015-02-12,44
2015-02-13,47
2015-02-14,39
2015-02-15,39
2015-02-16,39
2015-02-17,39
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0



Top searches for cdec
cdec dota 2,100






