Web Search interest: evil geniuses
Worldwide Jul-Aug 2015

Interest over time
Day,evil geniuses
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,5
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,4
2015-07-27,5
2015-07-28,5
2015-07-29,4
2015-07-30,4
2015-07-31,5
2015-08-01,5
2015-08-02,6
2015-08-03,7
2015-08-04,8
2015-08-05,4
2015-08-06,11
2015-08-07,10
2015-08-08,29
2015-08-09,100
2015-08-10,37
2015-08-11,18
2015-08-12,13
2015-08-13,8
2015-08-14,8
2015-08-15,30
2015-08-16,12
2015-08-17,8
2015-08-18,7
2015-08-19,7
2015-08-20,5
2015-08-21,5
2015-08-22,5
2015-08-23,4
2015-08-24,5
2015-08-25,5
2015-08-26,5
2015-08-27,3
2015-08-28,3
2015-08-29,3
2015-08-30,3
2015-08-31,3



Top searches for evil geniuses
evil geniuses dota,100
cdec,15



Rising searches for evil geniuses
cdec,Breakout
evil geniuses dota,+40%



