Web Search interest: natus vincere
Worldwide Jul-Aug 2014

Interest over time
Day,natus vincere
2014-07-01,0
2014-07-02,0
2014-07-03,38
2014-07-04,38
2014-07-05,38
2014-07-06,39
2014-07-07,39
2014-07-08,49
2014-07-09,59
2014-07-10,55
2014-07-11,47
2014-07-12,51
2014-07-13,63
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,100
2014-07-20,85
2014-07-21,45
2014-07-22,42
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,40
2014-07-29,40
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-09,0
2014-08-10,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,56
2014-08-16,37
2014-08-17,37
2014-08-18,37
2014-08-19,38
2014-08-20,39
2014-08-21,45
2014-08-22,52
2014-08-23,58
2014-08-24,65
2014-08-25,72
2014-08-26,71
2014-08-27,35
2014-08-28,39
2014-08-29,42
2014-08-30,46
2014-08-31,0









