Web Search interest: natus vincere
Worldwide Mar-Apr 2015

Interest over time
Day,natus vincere
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,69
2015-03-05,58
2015-03-06,58
2015-03-07,58
2015-03-08,58
2015-03-09,58
2015-03-10,63
2015-03-11,67
2015-03-12,72
2015-03-13,92
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,0
2015-03-27,71
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,67
2015-04-06,65
2015-04-07,50
2015-04-08,54
2015-04-09,58
2015-04-10,61
2015-04-11,65
2015-04-12,100
2015-04-13,62
2015-04-14,55
2015-04-15,70
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,64
2015-04-24,65
2015-04-25,67
2015-04-26,69
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0









