Web Search interest: team secret
Worldwide May-Jun 2015

Interest over time
Day,team secret
2015-05-01,17
2015-05-02,19
2015-05-03,13
2015-05-04,15
2015-05-05,14
2015-05-06,16
2015-05-07,19
2015-05-08,15
2015-05-09,19
2015-05-10,23
2015-05-11,38
2015-05-12,16
2015-05-13,15
2015-05-14,28
2015-05-15,23
2015-05-16,34
2015-05-17,42
2015-05-18,44
2015-05-19,15
2015-05-20,24
2015-05-21,18
2015-05-22,17
2015-05-23,14
2015-05-24,17
2015-05-25,14
2015-05-26,12
2015-05-27,14
2015-05-28,15
2015-05-29,16
2015-05-30,17
2015-05-31,20
2015-06-01,21
2015-06-02,15
2015-06-03,19
2015-06-04,26
2015-06-05,27
2015-06-06,38
2015-06-07,55
2015-06-08,23
2015-06-09,16
2015-06-10,15
2015-06-11,16
2015-06-12,17
2015-06-13,17
2015-06-14,21
2015-06-15,13
2015-06-16,13
2015-06-17,22
2015-06-18,32
2015-06-19,19
2015-06-20,33
2015-06-21,100
2015-06-22,58
2015-06-23,31
2015-06-24,24
2015-06-25,24
2015-06-26,23
2015-06-27,19
2015-06-28,22
2015-06-29,20
2015-06-30,14



Top searches for team secret
team secret dota,100






