Web Search interest: team secret
Worldwide Sep-Oct 2014

Interest over time
Day,team secret
2014-09-01,24
2014-09-02,27
2014-09-03,31
2014-09-04,26
2014-09-05,27
2014-09-06,23
2014-09-07,30
2014-09-08,23
2014-09-09,26
2014-09-10,20
2014-09-11,22
2014-09-12,23
2014-09-13,23
2014-09-14,39
2014-09-15,34
2014-09-16,33
2014-09-17,22
2014-09-18,26
2014-09-19,23
2014-09-20,21
2014-09-21,21
2014-09-22,17
2014-09-23,47
2014-09-24,43
2014-09-25,39
2014-09-26,40
2014-09-27,28
2014-09-28,27
2014-09-29,18
2014-09-30,21
2014-10-01,23
2014-10-02,39
2014-10-03,76
2014-10-04,47
2014-10-05,24
2014-10-06,27
2014-10-07,47
2014-10-08,41
2014-10-09,66
2014-10-10,92
2014-10-11,37
2014-10-12,29
2014-10-13,27
2014-10-14,28
2014-10-15,24
2014-10-16,35
2014-10-17,72
2014-10-18,46
2014-10-19,38
2014-10-20,41
2014-10-21,31
2014-10-22,30
2014-10-23,46
2014-10-24,73
2014-10-25,73
2014-10-26,100
2014-10-27,53
2014-10-28,33
2014-10-29,26
2014-10-30,30
2014-10-31,27



Top searches for team secret
team secret dota,100
team tinker,15
steven universe,15



Rising searches for team secret
team tinker,Breakout
team secret dota,+60%



