Web Search interest: team secret
Worldwide May-Jun 2015

Interest over time
Day,team secret
2015-05-01,17
2015-05-02,19
2015-05-03,25
2015-05-04,16
2015-05-05,13
2015-05-06,18
2015-05-07,21
2015-05-08,19
2015-05-09,16
2015-05-10,27
2015-05-11,44
2015-05-12,19
2015-05-13,16
2015-05-14,29
2015-05-15,22
2015-05-16,35
2015-05-17,48
2015-05-18,38
2015-05-19,17
2015-05-20,17
2015-05-21,21
2015-05-22,19
2015-05-23,18
2015-05-24,17
2015-05-25,16
2015-05-26,15
2015-05-27,13
2015-05-28,12
2015-05-29,21
2015-05-30,24
2015-05-31,21
2015-06-01,22
2015-06-02,17
2015-06-03,18
2015-06-04,28
2015-06-05,25
2015-06-06,35
2015-06-07,59
2015-06-08,29
2015-06-09,19
2015-06-10,15
2015-06-11,17
2015-06-12,19
2015-06-13,17
2015-06-14,21
2015-06-15,16
2015-06-16,15
2015-06-17,12
2015-06-18,32
2015-06-19,21
2015-06-20,37
2015-06-21,100
2015-06-22,66
2015-06-23,37
2015-06-24,23
2015-06-25,27
2015-06-26,23
2015-06-27,27
2015-06-28,22
2015-06-29,19
2015-06-30,13



Top searches for team secret
team secret dota,100






