Web Search interest: virtus pro
Worldwide May-Jun 2014

Interest over time
Day,virtus pro
2014-05-01,36
2014-05-02,35
2014-05-03,59
2014-05-04,42
2014-05-05,26
2014-05-06,36
2014-05-07,35
2014-05-08,31
2014-05-09,29
2014-05-10,26
2014-05-11,44
2014-05-12,29
2014-05-13,23
2014-05-14,28
2014-05-15,33
2014-05-16,27
2014-05-17,36
2014-05-18,46
2014-05-19,22
2014-05-20,22
2014-05-21,39
2014-05-22,28
2014-05-23,39
2014-05-24,49
2014-05-25,46
2014-05-26,41
2014-05-27,81
2014-05-28,49
2014-05-29,31
2014-05-30,44
2014-05-31,39
2014-06-01,60
2014-06-02,30
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,0
2014-06-10,100
2014-06-11,54
2014-06-12,40
2014-06-13,41
2014-06-14,49
2014-06-15,49
2014-06-16,54
2014-06-17,27
2014-06-18,28
2014-06-19,29
2014-06-20,30
2014-06-21,31
2014-06-22,32
2014-06-23,33
2014-06-24,29
2014-06-25,29
2014-06-26,29
2014-06-27,32
2014-06-28,46
2014-06-29,74
2014-06-30,33









