Web Search interest: virtus pro
Worldwide Mar-Apr 2015

Interest over time
Day,virtus pro
2015-03-01,19
2015-03-02,24
2015-03-03,14
2015-03-04,17
2015-03-05,11
2015-03-06,13
2015-03-07,14
2015-03-08,16
2015-03-09,14
2015-03-10,16
2015-03-11,21
2015-03-12,38
2015-03-13,65
2015-03-14,100
2015-03-15,46
2015-03-16,26
2015-03-17,34
2015-03-18,26
2015-03-19,14
2015-03-20,17
2015-03-21,33
2015-03-22,30
2015-03-23,14
2015-03-24,15
2015-03-25,19
2015-03-26,14
2015-03-27,17
2015-03-28,26
2015-03-29,18
2015-03-30,9
2015-03-31,15
2015-04-01,16
2015-04-02,15
2015-04-03,16
2015-04-04,33
2015-04-05,21
2015-04-06,31
2015-04-07,13
2015-04-08,13
2015-04-09,15
2015-04-10,18
2015-04-11,23
2015-04-12,11
2015-04-13,10
2015-04-14,18
2015-04-15,10
2015-04-16,10
2015-04-17,9
2015-04-18,18
2015-04-19,21
2015-04-20,17
2015-04-21,10
2015-04-22,37
2015-04-23,27
2015-04-24,12
2015-04-25,16
2015-04-26,20
2015-04-27,9
2015-04-28,21
2015-04-29,16
2015-04-30,12


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,28


Top cities for virtus pro
City,virtus pro
Krakow (Poland),100
Warsaw (Poland),63



Top searches for virtus pro
fnatic,100
virtus pro fnatic,100
virtus pro pasha,30



Rising searches for virtus pro
fnatic,+60%
virtus pro fnatic,+50%



