Web Search interest: virtus pro
Worldwide Sep-Oct 2015

Interest over time
Day,virtus pro
2015-09-01,40
2015-09-02,33
2015-09-03,30
2015-09-04,23
2015-09-05,25
2015-09-06,32
2015-09-07,30
2015-09-08,36
2015-09-09,21
2015-09-10,44
2015-09-11,46
2015-09-12,100
2015-09-13,53
2015-09-14,31
2015-09-15,22
2015-09-16,18
2015-09-17,20
2015-09-18,20
2015-09-19,30
2015-09-20,31
2015-09-21,27
2015-09-22,21
2015-09-23,26
2015-09-24,40
2015-09-25,37
2015-09-26,64
2015-09-27,34
2015-09-28,17
2015-09-29,27
2015-09-30,35
2015-10-01,24
2015-10-02,34
2015-10-03,46
2015-10-04,52
2015-10-05,24
2015-10-06,29
2015-10-07,19
2015-10-08,27
2015-10-09,29
2015-10-10,39
2015-10-11,33
2015-10-12,24
2015-10-13,22
2015-10-14,20
2015-10-15,48
2015-10-16,52
2015-10-17,52
2015-10-18,61
2015-10-19,33
2015-10-20,34
2015-10-21,35
2015-10-22,28
2015-10-23,23
2015-10-24,34
2015-10-25,35
2015-10-26,32
2015-10-27,33
2015-10-28,54
2015-10-29,68
2015-10-30,45
2015-10-31,86


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,35


Top cities for virtus pro
City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
fnatic,100
virtus pro dota,70






