Web Search interest: virtus pro
Worldwide Nov-Dec 2015

Interest over time
Day,virtus pro
2015-11-01,82
2015-11-02,48
2015-11-03,58
2015-11-04,54
2015-11-05,50
2015-11-06,53
2015-11-07,74
2015-11-08,99
2015-11-09,42
2015-11-10,38
2015-11-11,68
2015-11-12,60
2015-11-13,100
2015-11-14,76
2015-11-15,89
2015-11-16,63
2015-11-17,81
2015-11-18,82
2015-11-19,61
2015-11-20,45
2015-11-21,69
2015-11-22,93
2015-11-23,43
2015-11-24,32
2015-11-25,43
2015-11-26,62
2015-11-27,54
2015-11-28,81
2015-11-29,43
2015-11-30,32
2015-12-01,36
2015-12-02,68
2015-12-03,55
2015-12-04,48
2015-12-05,46
2015-12-06,44
2015-12-07,55
2015-12-08,49
2015-12-09,37
2015-12-10,37
2015-12-11,38
2015-12-12,45
2015-12-13,88
2015-12-14,51
2015-12-15,49
2015-12-16,52
2015-12-17,42
2015-12-18,35
2015-12-19,39
2015-12-20,48
2015-12-21,39
2015-12-22,43
2015-12-23, 
2015-12-24, 


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,49


Top cities for virtus pro
Town/City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
virtus pro dota,100
virtus pro csgo,75
fnatic,65



Rising searches for virtus pro
virtus pro dota,+70%



