Web Search interest: dotabuff
Worldwide Jan-Feb 2014

Interest over time
Day,dotabuff
2014-01-01,72
2014-01-02,67
2014-01-03,68
2014-01-04,68
2014-01-05,76
2014-01-06,78
2014-01-07,69
2014-01-08,74
2014-01-09,70
2014-01-10,79
2014-01-11,96
2014-01-12,92
2014-01-13,78
2014-01-14,74
2014-01-15,68
2014-01-16,78
2014-01-17,82
2014-01-18,80
2014-01-19,81
2014-01-20,79
2014-01-21,66
2014-01-22,82
2014-01-23,72
2014-01-24,79
2014-01-25,94
2014-01-26,100
2014-01-27,78
2014-01-28,73
2014-01-29,68
2014-01-30,73
2014-01-31,82
2014-02-01,86
2014-02-02,88
2014-02-03,61
2014-02-04,66
2014-02-05,72
2014-02-06,35
2014-02-07,67
2014-02-08,66
2014-02-09,70
2014-02-10,70
2014-02-11,68
2014-02-12,58
2014-02-13,63
2014-02-14,67
2014-02-15,71
2014-02-16,79
2014-02-17,58
2014-02-18,62
2014-02-19,59
2014-02-20,56
2014-02-21,65
2014-02-22,89
2014-02-23,71
2014-02-24,75
2014-02-25,65
2014-02-26,72
2014-02-27,69
2014-02-28,65


Top regions for dotabuff
Region,dotabuff
Russia,100
United States,6


Top cities for dotabuff
City,dotabuff
Singapore (Singapore),100
Moscow (Russia),66



Top searches for dotabuff
dendi dotabuff,100



Rising searches for dotabuff
dendi dotabuff,+80%



