Web Search interest: dotabuff
Worldwide Mar-Apr 2014

Interest over time
Day,dotabuff
2014-03-01,64
2014-03-02,59
2014-03-03,57
2014-03-04,47
2014-03-05,50
2014-03-06,52
2014-03-07,60
2014-03-08,65
2014-03-09,66
2014-03-10,55
2014-03-11,53
2014-03-12,61
2014-03-13,57
2014-03-14,60
2014-03-15,66
2014-03-16,64
2014-03-17,58
2014-03-18,56
2014-03-19,52
2014-03-20,62
2014-03-21,62
2014-03-22,69
2014-03-23,87
2014-03-24,64
2014-03-25,59
2014-03-26,70
2014-03-27,73
2014-03-28,69
2014-03-29,89
2014-03-30,74
2014-03-31,83
2014-04-01,83
2014-04-02,69
2014-04-03,70
2014-04-04,77
2014-04-05,100
2014-04-06,87
2014-04-07,68
2014-04-08,65
2014-04-09,66
2014-04-10,73
2014-04-11,66
2014-04-12,83
2014-04-13,75
2014-04-14,62
2014-04-15,65
2014-04-16,65
2014-04-17,67
2014-04-18,73
2014-04-19,89
2014-04-20,84
2014-04-21,80
2014-04-22,72
2014-04-23,63
2014-04-24,71
2014-04-25,65
2014-04-26,64
2014-04-27,69
2014-04-28,61
2014-04-29,66
2014-04-30,62


Top regions for dotabuff
Region,dotabuff
Russia,100
United States,5


Top cities for dotabuff
City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),80
Moscow (Russia),65



Top searches for dotabuff
dotabuff dendi,100
dotabuff arteezy,45
arteezy,40



Rising searches for dotabuff
dotabuff arteezy,+90%
arteezy,+80%
dotabuff dendi,+40%



