Web Search interest: dotabuff
Worldwide Nov-Dec 2014

Interest over time
Day,dotabuff
2014-11-01,79
2014-11-02,90
2014-11-03,82
2014-11-04,76
2014-11-05,73
2014-11-06,73
2014-11-07,90
2014-11-08,99
2014-11-09,100
2014-11-10,81
2014-11-11,77
2014-11-12,69
2014-11-13,77
2014-11-14,77
2014-11-15,80
2014-11-16,94
2014-11-17,73
2014-11-18,79
2014-11-19,68
2014-11-20,72
2014-11-21,81
2014-11-22,94
2014-11-23,80
2014-11-24,86
2014-11-25,86
2014-11-26,72
2014-11-27,79
2014-11-28,86
2014-11-29,82
2014-11-30,86
2014-12-01,87
2014-12-02,80
2014-12-03,69
2014-12-04,66
2014-12-05,73
2014-12-06,90
2014-12-07,84
2014-12-08,64
2014-12-09,75
2014-12-10,67
2014-12-11,82
2014-12-12,83
2014-12-13,97
2014-12-14,88
2014-12-15,74
2014-12-16,72
2014-12-17,76
2014-12-18,74
2014-12-19,76
2014-12-20,90
2014-12-21,92
2014-12-22,77
2014-12-23,87
2014-12-24,87
2014-12-25,87
2014-12-26,80
2014-12-27,97
2014-12-28,98
2014-12-29,79
2014-12-30,80
2014-12-31,76


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,66
United States,5


Top cities for dotabuff
City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),93
Moscow (Russia),83
Kiev (Ukraine),46
Kuala Lumpur (Malaysia),39
Sydney (Australia),22



Top searches for dotabuff
dotabuff dendi,100
dotabuff arteezy,55






