Web Search interest: joindota
Worldwide Jan-Feb 2015

Interest over time
Day,joindota
2015-01-01,49
2015-01-02,64
2015-01-03,47
2015-01-04,38
2015-01-05,53
2015-01-06,51
2015-01-07,39
2015-01-08,54
2015-01-09,47
2015-01-10,67
2015-01-11,58
2015-01-12,48
2015-01-13,40
2015-01-14,48
2015-01-15,46
2015-01-16,49
2015-01-17,56
2015-01-18,69
2015-01-19,43
2015-01-20,41
2015-01-21,38
2015-01-22,48
2015-01-23,47
2015-01-24,57
2015-01-25,83
2015-01-26,44
2015-01-27,60
2015-01-28,74
2015-01-29,82
2015-01-30,86
2015-01-31,100
2015-02-01,99
2015-02-02,88
2015-02-03,69
2015-02-04,57
2015-02-05,76
2015-02-06,82
2015-02-07,93
2015-02-08,88
2015-02-09,76
2015-02-10,46
2015-02-11,49
2015-02-12,37
2015-02-13,48
2015-02-14,52
2015-02-15,44
2015-02-16,52
2015-02-17,41
2015-02-18,39
2015-02-19,37
2015-02-20,47
2015-02-21,46
2015-02-22,62
2015-02-23,47
2015-02-24,49
2015-02-25,44
2015-02-26,60
2015-02-27,45
2015-02-28,48




Top cities for joindota
Town/City,joindota
Singapore (Singapore),100



Top searches for joindota
joindota league,100
joindota youtube,85



Rising searches for joindota
joindota league,+70%



