Web Search interest: monkey business
Worldwide May-Jun 2014

Interest over time
Day,monkey business
2014-05-01,82
2014-05-02,62
2014-05-03,65
2014-05-04,57
2014-05-05,55
2014-05-06,59
2014-05-07,53
2014-05-08,53
2014-05-09,55
2014-05-10,63
2014-05-11,64
2014-05-12,50
2014-05-13,51
2014-05-14,52
2014-05-15,59
2014-05-16,52
2014-05-17,60
2014-05-18,65
2014-05-19,61
2014-05-20,56
2014-05-21,61
2014-05-22,60
2014-05-23,59
2014-05-24,83
2014-05-25,68
2014-05-26,51
2014-05-27,50
2014-05-28,63
2014-05-29,59
2014-05-30,49
2014-05-31,100
2014-06-01,50
2014-06-02,49
2014-06-03,56
2014-06-04,61
2014-06-05,55
2014-06-06,52
2014-06-07,78
2014-06-08,58
2014-06-09,58
2014-06-10,52
2014-06-11,53
2014-06-12,51
2014-06-13,51
2014-06-14,65
2014-06-15,43
2014-06-16,43
2014-06-17,45
2014-06-18,48
2014-06-19,52
2014-06-20,60
2014-06-21,50
2014-06-22,50
2014-06-23,57
2014-06-24,57
2014-06-25,60
2014-06-26,56
2014-06-27,61
2014-06-28,66
2014-06-29,50
2014-06-30,46









