Web Search interest: monkey business
Worldwide Sep-Oct 2014

Interest over time
Day,monkey business
2014-09-01,64
2014-09-02,84
2014-09-03,60
2014-09-04,83
2014-09-05,68
2014-09-06,95
2014-09-07,96
2014-09-08,64
2014-09-09,70
2014-09-10,70
2014-09-11,75
2014-09-12,72
2014-09-13,67
2014-09-14,68
2014-09-15,68
2014-09-16,62
2014-09-17,69
2014-09-18,60
2014-09-19,82
2014-09-20,77
2014-09-21,100
2014-09-22,83
2014-09-23,63
2014-09-24,60
2014-09-25,95
2014-09-26,67
2014-09-27,70
2014-09-28,93
2014-09-29,63
2014-09-30,89
2014-10-01,68
2014-10-02,73
2014-10-03,82
2014-10-04,64
2014-10-05,67
2014-10-06,86
2014-10-07,59
2014-10-08,66
2014-10-09,97
2014-10-10,65
2014-10-11,70
2014-10-12,75
2014-10-13,70
2014-10-14,62
2014-10-15,78
2014-10-16,67
2014-10-17,66
2014-10-18,74
2014-10-19,74
2014-10-20,62
2014-10-21,77
2014-10-22,69
2014-10-23,67
2014-10-24,66
2014-10-25,88
2014-10-26,60
2014-10-27,70
2014-10-28,72
2014-10-29,62
2014-10-30,79
2014-10-31,74









