Web Search interest: monkey business
Worldwide Nov-Dec 2014

Interest over time
Day,monkey business
2014-11-01,60
2014-11-02,86
2014-11-03,56
2014-11-04,72
2014-11-05,63
2014-11-06,58
2014-11-07,59
2014-11-08,67
2014-11-09,55
2014-11-10,61
2014-11-11,86
2014-11-12,65
2014-11-13,61
2014-11-14,78
2014-11-15,86
2014-11-16,78
2014-11-17,90
2014-11-18,80
2014-11-19,67
2014-11-20,67
2014-11-21,69
2014-11-22,71
2014-11-23,68
2014-11-24,62
2014-11-25,59
2014-11-26,66
2014-11-27,50
2014-11-28,59
2014-11-29,82
2014-11-30,72
2014-12-01,47
2014-12-02,58
2014-12-03,76
2014-12-04,77
2014-12-05,68
2014-12-06,63
2014-12-07,100
2014-12-08,62
2014-12-09,54
2014-12-10,59
2014-12-11,89
2014-12-12,61
2014-12-13,92
2014-12-14,73
2014-12-15,64
2014-12-16,61
2014-12-17,67
2014-12-18,61
2014-12-19,71
2014-12-20,58
2014-12-21,64
2014-12-22,51
2014-12-23,71
2014-12-24,75
2014-12-25,83
2014-12-26,91
2014-12-27,81
2014-12-28,75
2014-12-29,71
2014-12-30,72
2014-12-31,81









