Mexico,0
Canada,86
New Zealand,99
Philippines,66
San Marino,6
Malta,18
Australia,161
Denmark,19
Moldova,129
Venezuela,434
Portugal,367
India,244
Poland,152
United States,108
The Netherlands,583
Kosovo,571
China,671
Bolivia,189
Indonesia,83
Israel,12
South Korea,28
Serbia,79
Belgium,414
Vietnam,301
Thailand,7
Croatia,344
Japan,62
Belarus,405
United Kingdom,132
Colombia,128
Peru,277
Uruguay,133
Chile,370
Switzerland,0
Georgia,125
