Web Search interest: heroes of newerth
Worldwide Jul-Aug 2014

Interest over time
Day,heroes of newerth
2014-07-01,65
2014-07-02,90
2014-07-03,81
2014-07-04,82
2014-07-05,89
2014-07-06,90
2014-07-07,59
2014-07-08,74
2014-07-09,90
2014-07-10,75
2014-07-11,75
2014-07-12,99
2014-07-13,100
2014-07-14,78
2014-07-15,92
2014-07-16,60
2014-07-17,58
2014-07-18,71
2014-07-19,68
2014-07-20,85
2014-07-21,60
2014-07-22,79
2014-07-23,70
2014-07-24,59
2014-07-25,66
2014-07-26,95
2014-07-27,74
2014-07-28,57
2014-07-29,57
2014-07-30,67
2014-07-31,79
2014-08-01,76
2014-08-02,63
2014-08-03,74
2014-08-04,72
2014-08-05,59
2014-08-06,64
2014-08-07,66
2014-08-08,65
2014-08-09,74
2014-08-10,84
2014-08-11,64
2014-08-12,68
2014-08-13,85
2014-08-14,59
2014-08-15,65
2014-08-16,59
2014-08-17,90
2014-08-18,54
2014-08-19,47
2014-08-20,67
2014-08-21,54
2014-08-22,57
2014-08-23,81
2014-08-24,56
2014-08-25,58
2014-08-26,50
2014-08-27,60
2014-08-28,56
2014-08-29,62
2014-08-30,65
2014-08-31,60









