Web Search interest: heroes of newerth
Worldwide Sep-Oct 2014

Interest over time
Day,heroes of newerth
2014-09-01,51
2014-09-02,52
2014-09-03,59
2014-09-04,63
2014-09-05,59
2014-09-06,78
2014-09-07,53
2014-09-08,59
2014-09-09,51
2014-09-10,57
2014-09-11,57
2014-09-12,58
2014-09-13,61
2014-09-14,66
2014-09-15,53
2014-09-16,49
2014-09-17,40
2014-09-18,41
2014-09-19,49
2014-09-20,67
2014-09-21,64
2014-09-22,59
2014-09-23,61
2014-09-24,55
2014-09-25,50
2014-09-26,51
2014-09-27,63
2014-09-28,54
2014-09-29,44
2014-09-30,59
2014-10-01,45
2014-10-02,45
2014-10-03,58
2014-10-04,68
2014-10-05,55
2014-10-06,56
2014-10-07,41
2014-10-08,53
2014-10-09,41
2014-10-10,58
2014-10-11,54
2014-10-12,55
2014-10-13,51
2014-10-14,51
2014-10-15,49
2014-10-16,44
2014-10-17,46
2014-10-18,73
2014-10-19,100
2014-10-20,69
2014-10-21,65
2014-10-22,54
2014-10-23,62
2014-10-24,62
2014-10-25,71
2014-10-26,65
2014-10-27,57
2014-10-28,60
2014-10-29,60
2014-10-30,59
2014-10-31,41









