Web Search interest: heroes of newerth
Worldwide Jan-Feb 2015

Interest over time
Day,heroes of newerth
2015-01-01,75
2015-01-02,76
2015-01-03,54
2015-01-04,73
2015-01-05,63
2015-01-06,66
2015-01-07,49
2015-01-08,64
2015-01-09,60
2015-01-10,65
2015-01-11,51
2015-01-12,57
2015-01-13,58
2015-01-14,55
2015-01-15,46
2015-01-16,65
2015-01-17,74
2015-01-18,53
2015-01-19,53
2015-01-20,47
2015-01-21,66
2015-01-22,43
2015-01-23,58
2015-01-24,55
2015-01-25,82
2015-01-26,76
2015-01-27,54
2015-01-28,80
2015-01-29,59
2015-01-30,56
2015-01-31,100
2015-02-01,79
2015-02-02,53
2015-02-03,66
2015-02-04,61
2015-02-05,58
2015-02-06,47
2015-02-07,54
2015-02-08,54
2015-02-09,54
2015-02-10,59
2015-02-11,63
2015-02-12,86
2015-02-13,74
2015-02-14,61
2015-02-15,68
2015-02-16,61
2015-02-17,80
2015-02-18,47
2015-02-19,53
2015-02-20,51
2015-02-21,73
2015-02-22,71
2015-02-23,43
2015-02-24,68
2015-02-25,59
2015-02-26,57
2015-02-27,70
2015-02-28,80









