Web Search interest: heroes of newerth
Worldwide May-Jun 2015

Interest over time
Day,heroes of newerth
2015-05-01,79
2015-05-02,81
2015-05-03,69
2015-05-04,69
2015-05-05,98
2015-05-06,78
2015-05-07,87
2015-05-08,78
2015-05-09,90
2015-05-10,82
2015-05-11,57
2015-05-12,67
2015-05-13,63
2015-05-14,49
2015-05-15,65
2015-05-16,83
2015-05-17,62
2015-05-18,53
2015-05-19,69
2015-05-20,50
2015-05-21,61
2015-05-22,61
2015-05-23,78
2015-05-24,63
2015-05-25,75
2015-05-26,63
2015-05-27,49
2015-05-28,57
2015-05-29,63
2015-05-30,66
2015-05-31,62
2015-06-01,69
2015-06-02,75
2015-06-03,55
2015-06-04,76
2015-06-05,62
2015-06-06,84
2015-06-07,61
2015-06-08,61
2015-06-09,51
2015-06-10,72
2015-06-11,47
2015-06-12,59
2015-06-13,100
2015-06-14,85
2015-06-15,78
2015-06-16,52
2015-06-17,58
2015-06-18,77
2015-06-19,85
2015-06-20,90
2015-06-21,43
2015-06-22,43
2015-06-23,61
2015-06-24,57
2015-06-25,56
2015-06-26,62
2015-06-27,62
2015-06-28,58
2015-06-29,46
2015-06-30,68









