Web Search interest: hon heroes
Worldwide Sep-Oct 2010

Interest over time
Day,hon heroes
2010-09-01,0
2010-09-02,70
2010-09-03,81
2010-09-04,75
2010-09-05,75
2010-09-06,75
2010-09-07,75
2010-09-08,78
2010-09-09,80
2010-09-10,85
2010-09-11,89
2010-09-12,86
2010-09-13,67
2010-09-14,67
2010-09-15,72
2010-09-16,58
2010-09-17,58
2010-09-18,58
2010-09-19,58
2010-09-20,58
2010-09-21,63
2010-09-22,72
2010-09-23,81
2010-09-24,86
2010-09-25,91
2010-09-26,61
2010-09-27,61
2010-09-28,61
2010-09-29,70
2010-09-30,80
2010-10-01,66
2010-10-02,67
2010-10-03,68
2010-10-04,70
2010-10-05,66
2010-10-06,66
2010-10-07,66
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,0
2010-10-13,0
2010-10-14,66
2010-10-15,62
2010-10-16,62
2010-10-17,62
2010-10-18,62
2010-10-19,62
2010-10-20,61
2010-10-21,61
2010-10-22,70
2010-10-23,79
2010-10-24,88
2010-10-25,97
2010-10-26,89
2010-10-27,89
2010-10-28,89
2010-10-29,89
2010-10-30,89
2010-10-31,100



Top searches for hon heroes
heroes of newerth,100






