Web Search interest: hon heroes
Worldwide Jul-Aug 2013

Interest over time
Day,hon heroes
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,69
2013-07-12,84
2013-07-13,100
2013-07-14,72
2013-07-15,64
2013-07-16,64
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-20,0
2013-07-21,0
2013-07-22,0
2013-07-23,80
2013-07-24,94
2013-07-25,64
2013-07-26,78
2013-07-27,71
2013-07-28,76
2013-07-29,62
2013-07-30,71
2013-07-31,80
2013-08-01,82
2013-08-02,72
2013-08-03,72
2013-08-04,61
2013-08-05,61
2013-08-06,61
2013-08-07,66
2013-08-08,72
2013-08-09,78
2013-08-10,83
2013-08-11,63
2013-08-12,63
2013-08-13,75
2013-08-14,87
2013-08-15,71
2013-08-16,71
2013-08-17,76
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,70
2013-08-24,69
2013-08-25,69
2013-08-26,61
2013-08-27,61
2013-08-28,61
2013-08-29,61
2013-08-30,0
2013-08-31,0



Top searches for hon heroes
heroes of newerth,100






