Web Search interest: hon beta
Worldwide Mar-Apr 2010

Interest over time
Day,hon beta
2010-03-01,66
2010-03-02,58
2010-03-03,58
2010-03-04,73
2010-03-05,62
2010-03-06,53
2010-03-07,53
2010-03-08,53
2010-03-09,50
2010-03-10,55
2010-03-11,61
2010-03-12,70
2010-03-13,79
2010-03-14,88
2010-03-15,53
2010-03-16,56
2010-03-17,58
2010-03-18,60
2010-03-19,63
2010-03-20,74
2010-03-21,86
2010-03-22,57
2010-03-23,61
2010-03-24,55
2010-03-25,99
2010-03-26,86
2010-03-27,76
2010-03-28,76
2010-03-29,73
2010-03-30,55
2010-03-31,56
2010-04-01,60
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,100
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0



Top searches for hon beta
hon beta key,100
heroes of newerth,45
hon download,30
hon download beta,30
hon beta keys,30



Rising searches for hon beta
hon download,+80%
hon download beta,+60%



