Web Search interest: hon dota heroes
Worldwide Jan 2009 - Jul 2015

Interest over time
Month,hon dota heroes
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,44
2009-08,100
2009-09,100
2009-10,73
2009-11,61
2009-12,57
2010-01,56
2010-02,66
2010-03,57
2010-04,62
2010-05,51
2010-06,37
2010-07,35
2010-08,28
2010-09,33
2010-10,30
2010-11,33
2010-12,31
2011-01,28
2011-02,27
2011-03,34
2011-04,35
2011-05,35
2011-06,31
2011-07,49
2011-08,94
2011-09,40
2011-10,36
2011-11,40
2011-12,42
2012-01,29
2012-02,41
2012-03,37
2012-04,37
2012-05,29
2012-06,29
2012-07,26
2012-08,30
2012-09,26
2012-10,24
2012-11,26
2012-12,28
2013-01,31
2013-02,22
2013-03,22
2013-04,16
2013-05,19
2013-06,19
2013-07,21
2013-08,30
2013-09,18
2013-10,16
2013-11,15
2013-12,12
2014-01,14
2014-02,12
2014-03,17
2014-04,17
2014-05,15
2014-06,14
2014-07,21
2014-08,15
2014-09,12
2014-10,10
2014-11,10
2014-12,11
2015-01,8
2015-02,10
2015-03,10
2015-04,10
2015-05,8
2015-06,8
2015-07,9


Top regions for hon dota heroes
Region,hon dota heroes
United States,100





Top searches for hon dota heroes
dota 2 heroes,100
dota vs hon,35
hon wiki,10



Rising searches for hon dota heroes
dota 2 heroes,Breakout
dota vs hon,Breakout
hon wiki,Breakout



