Web Search interest: heroes of newerth
Worldwide Jul-Aug 2011

Interest over time
Day,heroes of newerth
2011-07-01,20
2011-07-02,19
2011-07-03,22
2011-07-04,15
2011-07-05,12
2011-07-06,14
2011-07-07,17
2011-07-08,18
2011-07-09,19
2011-07-10,17
2011-07-11,15
2011-07-12,14
2011-07-13,17
2011-07-14,15
2011-07-15,22
2011-07-16,25
2011-07-17,23
2011-07-18,17
2011-07-19,34
2011-07-20,20
2011-07-21,17
2011-07-22,20
2011-07-23,20
2011-07-24,21
2011-07-25,18
2011-07-26,20
2011-07-27,20
2011-07-28,19
2011-07-29,83
2011-07-30,100
2011-07-31,71
2011-08-01,54
2011-08-02,50
2011-08-03,40
2011-08-04,34
2011-08-05,35
2011-08-06,35
2011-08-07,36
2011-08-08,26
2011-08-09,29
2011-08-10,24
2011-08-11,24
2011-08-12,27
2011-08-13,33
2011-08-14,31
2011-08-15,24
2011-08-16,26
2011-08-17,29
2011-08-18,26
2011-08-19,33
2011-08-20,36
2011-08-21,30
2011-08-22,23
2011-08-23,22
2011-08-24,23
2011-08-25,22
2011-08-26,27
2011-08-27,27
2011-08-28,28
2011-08-29,22
2011-08-30,22
2011-08-31,20


Top regions for heroes of newerth
Region,heroes of newerth
Sweden,100
United States,13
Germany,12


Top cities for heroes of newerth
Town/City,heroes of newerth
Manila (Philippines),100
Bangkok (Thailand),33



Top searches for heroes of newerth
hon,100
hero of newerth,20
heros of newerth,10






