Web Search interest: heroes of newerth
Worldwide May-Jun 2012

Interest over time
Day,heroes of newerth
2012-05-01,61
2012-05-02,52
2012-05-03,53
2012-05-04,67
2012-05-05,69
2012-05-06,63
2012-05-07,49
2012-05-08,60
2012-05-09,54
2012-05-10,45
2012-05-11,80
2012-05-12,100
2012-05-13,74
2012-05-14,50
2012-05-15,51
2012-05-16,43
2012-05-17,42
2012-05-18,52
2012-05-19,51
2012-05-20,51
2012-05-21,44
2012-05-22,41
2012-05-23,39
2012-05-24,38
2012-05-25,55
2012-05-26,51
2012-05-27,44
2012-05-28,42
2012-05-29,39
2012-05-30,54
2012-05-31,41
2012-06-01,44
2012-06-02,44
2012-06-03,52
2012-06-04,44
2012-06-05,41
2012-06-06,41
2012-06-07,45
2012-06-08,39
2012-06-09,64
2012-06-10,55
2012-06-11,42
2012-06-12,39
2012-06-13,40
2012-06-14,45
2012-06-15,45
2012-06-16,74
2012-06-17,85
2012-06-18,55
2012-06-19,44
2012-06-20,61
2012-06-21,45
2012-06-22,65
2012-06-23,65
2012-06-24,54
2012-06-25,43
2012-06-26,56
2012-06-27,42
2012-06-28,44
2012-06-29,49
2012-06-30,64


Top regions for heroes of newerth
Region,heroes of newerth
United States,100











