Web Search interest: heroes of newerth
Worldwide Sep-Oct 2012

Interest over time
Day,heroes of newerth
2012-09-01,81
2012-09-02,84
2012-09-03,63
2012-09-04,62
2012-09-05,61
2012-09-06,55
2012-09-07,72
2012-09-08,66
2012-09-09,97
2012-09-10,67
2012-09-11,67
2012-09-12,65
2012-09-13,69
2012-09-14,82
2012-09-15,89
2012-09-16,85
2012-09-17,79
2012-09-18,59
2012-09-19,72
2012-09-20,61
2012-09-21,82
2012-09-22,81
2012-09-23,63
2012-09-24,69
2012-09-25,55
2012-09-26,50
2012-09-27,63
2012-09-28,70
2012-09-29,87
2012-09-30,86
2012-10-01,63
2012-10-02,78
2012-10-03,80
2012-10-04,77
2012-10-05,66
2012-10-06,96
2012-10-07,91
2012-10-08,61
2012-10-09,65
2012-10-10,66
2012-10-11,57
2012-10-12,79
2012-10-13,100
2012-10-14,77
2012-10-15,61
2012-10-16,61
2012-10-17,60
2012-10-18,67
2012-10-19,84
2012-10-20,100
2012-10-21,80
2012-10-22,79
2012-10-23,87
2012-10-24,77
2012-10-25,68
2012-10-26,69
2012-10-27,97
2012-10-28,77
2012-10-29,72
2012-10-30,55
2012-10-31,53


Top regions for heroes of newerth
Region,heroes of newerth
United States,100











