Web Search interest: heroes of newerth
Worldwide Jan-Feb 2015

Interest over time
Day,heroes of newerth
2015-01-01,64
2015-01-02,72
2015-01-03,76
2015-01-04,65
2015-01-05,65
2015-01-06,61
2015-01-07,59
2015-01-08,60
2015-01-09,59
2015-01-10,54
2015-01-11,67
2015-01-12,65
2015-01-13,56
2015-01-14,56
2015-01-15,46
2015-01-16,53
2015-01-17,78
2015-01-18,60
2015-01-19,53
2015-01-20,68
2015-01-21,44
2015-01-22,50
2015-01-23,65
2015-01-24,56
2015-01-25,82
2015-01-26,75
2015-01-27,57
2015-01-28,97
2015-01-29,60
2015-01-30,58
2015-01-31,100
2015-02-01,79
2015-02-02,55
2015-02-03,50
2015-02-04,57
2015-02-05,59
2015-02-06,49
2015-02-07,68
2015-02-08,72
2015-02-09,55
2015-02-10,54
2015-02-11,53
2015-02-12,86
2015-02-13,56
2015-02-14,82
2015-02-15,77
2015-02-16,56
2015-02-17,61
2015-02-18,59
2015-02-19,48
2015-02-20,53
2015-02-21,79
2015-02-22,56
2015-02-23,41
2015-02-24,50
2015-02-25,61
2015-02-26,76
2015-02-27,66
2015-02-28,74









