Web Search interest: heroes of newerth
Worldwide Nov-Dec 2009

Interest over time
Day,heroes of newerth
2009-11-01,63
2009-11-02,53
2009-11-03,49
2009-11-04,61
2009-11-05,47
2009-11-06,53
2009-11-07,100
2009-11-08,60
2009-11-09,53
2009-11-10,61
2009-11-11,53
2009-11-12,50
2009-11-13,54
2009-11-14,89
2009-11-15,66
2009-11-16,45
2009-11-17,52
2009-11-18,45
2009-11-19,48
2009-11-20,51
2009-11-21,87
2009-11-22,63
2009-11-23,57
2009-11-24,48
2009-11-25,60
2009-11-26,91
2009-11-27,69
2009-11-28,65
2009-11-29,72
2009-11-30,53
2009-12-01,56
2009-12-02,56
2009-12-03,46
2009-12-04,58
2009-12-05,99
2009-12-06,78
2009-12-07,62
2009-12-08,56
2009-12-09,49
2009-12-10,48
2009-12-11,58
2009-12-12,93
2009-12-13,73
2009-12-14,54
2009-12-15,50
2009-12-16,61
2009-12-17,48
2009-12-18,90
2009-12-19,84
2009-12-20,75
2009-12-21,60
2009-12-22,67
2009-12-23,67
2009-12-24,87
2009-12-25,81
2009-12-26,74
2009-12-27,65
2009-12-28,64
2009-12-29,66
2009-12-30,60
2009-12-31,53


Top regions for heroes of newerth
Region,heroes of newerth
Philippines,100
Sweden,29
United States,3


Top cities for heroes of newerth
Town/City,heroes of newerth
Makati City (Philippines),100
Stockholm (Sweden),31
Bangkok (Thailand),19
Los Angeles (United States),8
Toronto (Canada),7
Frankfurt (Germany),3



Top searches for heroes of newerth
hon,100
beta key,70
download hon,20
hero of newerth,15
hon beta key,15
league of legends,15
heros of newerth,10






