Australia,0
United States,1245
Estonia,674
Belarus,164
Argentina,619
Iceland,6
Japan,73
The Netherlands,203
Mexico,70
Peru,70
South Korea,268
Canada,660
Israel,543
Ireland,12
Venezuela,82
Serbia,87
China,131
Kosovo,99
Switzerland,145
Georgia,317
Finland,168
Chile,135
Vietnam,174
Italy,350
India,119
Philippines,96
Macedonia,16
Greece,8
Romania,133
Indonesia,49
Lithuania,54
Paraguay,9
Hungary,100
United Arab Emirates,0
Ecuador,18
