Web Search interest: blizzard heroes
Worldwide May-Jun 2015

Interest over time
Day,blizzard heroes
2015-05-01,60
2015-05-02,46
2015-05-03,46
2015-05-04,46
2015-05-05,43
2015-05-06,43
2015-05-07,43
2015-05-08,51
2015-05-09,59
2015-05-10,67
2015-05-11,46
2015-05-12,46
2015-05-13,46
2015-05-14,69
2015-05-15,59
2015-05-16,63
2015-05-17,57
2015-05-18,45
2015-05-19,56
2015-05-20,66
2015-05-21,59
2015-05-22,59
2015-05-23,52
2015-05-24,63
2015-05-25,71
2015-05-26,54
2015-05-27,54
2015-05-28,56
2015-05-29,51
2015-05-30,57
2015-05-31,62
2015-06-01,80
2015-06-02,79
2015-06-03,85
2015-06-04,69
2015-06-05,64
2015-06-06,99
2015-06-07,100
2015-06-08,54
2015-06-09,61
2015-06-10,47
2015-06-11,56
2015-06-12,74
2015-06-13,79
2015-06-14,58
2015-06-15,45
2015-06-16,50
2015-06-17,75
2015-06-18,56
2015-06-19,68
2015-06-20,52
2015-06-21,48
2015-06-22,48
2015-06-23,52
2015-06-24,43
2015-06-25,42
2015-06-26,42
2015-06-27,42
2015-06-28,42
2015-06-29,42
2015-06-30,0









