Web Search interest: blizzard heroes
Worldwide Jan 2009 - Oct 2015

Interest over time
Month,blizzard heroes
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,5
2009-09,4
2009-10,4
2009-11,4
2009-12,4
2010-01,4
2010-02,5
2010-03,5
2010-04,5
2010-05,5
2010-06,5
2010-07,4
2010-08,4
2010-09,4
2010-10,4
2010-11,4
2010-12,4
2011-01,4
2011-02,4
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,3
2011-08,5
2011-09,4
2011-10,4
2011-11,3
2011-12,3
2012-01,3
2012-02,2
2012-03,2
2012-04,3
2012-05,3
2012-06,3
2012-07,3
2012-08,4
2012-09,2
2012-10,2
2012-11,2
2012-12,3
2013-01,3
2013-02,3
2013-03,9
2013-04,3
2013-05,5
2013-06,4
2013-07,2
2013-08,3
2013-09,4
2013-10,21
2013-11,100
2013-12,31
2014-01,26
2014-02,24
2014-03,34
2014-04,23
2014-05,19
2014-06,17
2014-07,28
2014-08,23
2014-09,19
2014-10,22
2014-11,32
2014-12,25
2015-01,39
2015-02,35
2015-03,40
2015-04,42
2015-05,41
2015-06,55
2015-07,26
2015-08,26
2015-09,17
2015-10,17


Top regions for blizzard heroes
Region,blizzard heroes
Germany,100
Brazil,75
United States,75





Top searches for blizzard heroes
heroes of blizzard,100
blizzard storm,85
heroes of storm,85
blizzard dota,10
blizzard dota heroes,10
blizzard moba,5
heroes of warcraft,5
blizzard hearthstone,5
blizzard games,5
blizzard overwatch,5
lol blizzard,5
hots blizzard,5
play heroes blizzard,0
titan blizzard,0
blizzard all stars,0
blizzard new game,0
blizzard twitter,0



Rising searches for blizzard heroes
blizzard dota,Breakout
blizzard dota heroes,Breakout
blizzard hearthstone,Breakout
blizzard moba,Breakout
blizzard overwatch,Breakout
blizzard storm,Breakout
heroes of storm,Breakout
heroes of blizzard,+70%



