Web Search interest: heroes of storm
Worldwide Jan-Feb 2014

Interest over time
Day,heroes of storm
2014-01-01,76
2014-01-02,70
2014-01-03,68
2014-01-04,74
2014-01-05,66
2014-01-06,66
2014-01-07,70
2014-01-08,60
2014-01-09,57
2014-01-10,62
2014-01-11,76
2014-01-12,58
2014-01-13,56
2014-01-14,47
2014-01-15,58
2014-01-16,67
2014-01-17,56
2014-01-18,65
2014-01-19,69
2014-01-20,65
2014-01-21,53
2014-01-22,87
2014-01-23,69
2014-01-24,62
2014-01-25,79
2014-01-26,71
2014-01-27,56
2014-01-28,60
2014-01-29,61
2014-01-30,53
2014-01-31,59
2014-02-01,83
2014-02-02,84
2014-02-03,66
2014-02-04,63
2014-02-05,50
2014-02-06,51
2014-02-07,54
2014-02-08,60
2014-02-09,71
2014-02-10,55
2014-02-11,52
2014-02-12,49
2014-02-13,74
2014-02-14,83
2014-02-15,82
2014-02-16,90
2014-02-17,84
2014-02-18,100
2014-02-19,99
2014-02-20,85
2014-02-21,71
2014-02-22,81
2014-02-23,89
2014-02-24,85
2014-02-25,93
2014-02-26,86
2014-02-27,81
2014-02-28,77


Top regions for heroes of storm
Region,heroes of storm
United States,100





Top searches for heroes of storm
blizzard,100
moba,40






