Web Search interest: heroes of storm
Worldwide Mar-Apr 2014

Interest over time
Day,heroes of storm
2014-03-01,10
2014-03-02,11
2014-03-03,10
2014-03-04,12
2014-03-05,14
2014-03-06,11
2014-03-07,12
2014-03-08,13
2014-03-09,12
2014-03-10,9
2014-03-11,8
2014-03-12,13
2014-03-13,20
2014-03-14,100
2014-03-15,66
2014-03-16,63
2014-03-17,43
2014-03-18,35
2014-03-19,36
2014-03-20,29
2014-03-21,29
2014-03-22,30
2014-03-23,31
2014-03-24,27
2014-03-25,18
2014-03-26,22
2014-03-27,18
2014-03-28,18
2014-03-29,19
2014-03-30,21
2014-03-31,14
2014-04-01,14
2014-04-02,16
2014-04-03,14
2014-04-04,13
2014-04-05,14
2014-04-06,15
2014-04-07,10
2014-04-08,11
2014-04-09,12
2014-04-10,12
2014-04-11,15
2014-04-12,21
2014-04-13,18
2014-04-14,14
2014-04-15,16
2014-04-16,17
2014-04-17,17
2014-04-18,27
2014-04-19,18
2014-04-20,16
2014-04-21,16
2014-04-22,15
2014-04-23,15
2014-04-24,12
2014-04-25,14
2014-04-26,16
2014-04-27,13
2014-04-28,12
2014-04-29,11
2014-04-30,12


Top regions for heroes of storm
Region,heroes of storm
Canada,100
Germany,71
United States,62
France,61
Brazil,39
United Kingdom,37


Top cities for heroes of storm
City,heroes of storm
Santiago (Chile),100



Top searches for heroes of storm
blizzard,100
moba,40
heroes of warcraft,35
hots,25
heroes of newerth,20



Rising searches for heroes of storm
hots,+70%



