Web Search interest: heroes of storm
Worldwide Jul-Aug 2014

Interest over time
Day,heroes of storm
2014-07-01,58
2014-07-02,100
2014-07-03,73
2014-07-04,71
2014-07-05,83
2014-07-06,75
2014-07-07,58
2014-07-08,45
2014-07-09,47
2014-07-10,68
2014-07-11,65
2014-07-12,75
2014-07-13,67
2014-07-14,60
2014-07-15,59
2014-07-16,59
2014-07-17,67
2014-07-18,56
2014-07-19,70
2014-07-20,70
2014-07-21,61
2014-07-22,73
2014-07-23,77
2014-07-24,79
2014-07-25,77
2014-07-26,75
2014-07-27,76
2014-07-28,65
2014-07-29,56
2014-07-30,49
2014-07-31,51
2014-08-01,51
2014-08-02,62
2014-08-03,69
2014-08-04,49
2014-08-05,45
2014-08-06,49
2014-08-07,50
2014-08-08,42
2014-08-09,49
2014-08-10,64
2014-08-11,49
2014-08-12,44
2014-08-13,55
2014-08-14,65
2014-08-15,73
2014-08-16,67
2014-08-17,67
2014-08-18,53
2014-08-19,60
2014-08-20,53
2014-08-21,50
2014-08-22,65
2014-08-23,64
2014-08-24,82
2014-08-25,54
2014-08-26,54
2014-08-27,61
2014-08-28,46
2014-08-29,47
2014-08-30,57
2014-08-31,61


Top regions for heroes of storm
Region,heroes of storm
Russia,100
Spain,98
Canada,81
France,65
Germany,63
United States,41
Brazil,36


Top cities for heroes of storm
City,heroes of storm
Singapore (Singapore),100
Sydney (Australia),52
Santiago (Chile),43



Top searches for heroes of storm
blizzard,100
heroes online,60
hots,60
moba,40



Rising searches for heroes of storm
hots,+60%



