Web Search interest: heroes of storm
Worldwide Mar-Apr 2014

Interest over time
Day,heroes of storm
2014-03-01,11
2014-03-02,11
2014-03-03,10
2014-03-04,11
2014-03-05,13
2014-03-06,10
2014-03-07,13
2014-03-08,13
2014-03-09,13
2014-03-10,9
2014-03-11,10
2014-03-12,14
2014-03-13,21
2014-03-14,100
2014-03-15,67
2014-03-16,62
2014-03-17,45
2014-03-18,35
2014-03-19,39
2014-03-20,28
2014-03-21,29
2014-03-22,28
2014-03-23,30
2014-03-24,26
2014-03-25,18
2014-03-26,20
2014-03-27,18
2014-03-28,18
2014-03-29,20
2014-03-30,22
2014-03-31,14
2014-04-01,15
2014-04-02,16
2014-04-03,13
2014-04-04,11
2014-04-05,13
2014-04-06,14
2014-04-07,10
2014-04-08,11
2014-04-09,11
2014-04-10,12
2014-04-11,16
2014-04-12,21
2014-04-13,17
2014-04-14,14
2014-04-15,17
2014-04-16,16
2014-04-17,16
2014-04-18,26
2014-04-19,19
2014-04-20,17
2014-04-21,16
2014-04-22,14
2014-04-23,15
2014-04-24,12
2014-04-25,14
2014-04-26,16
2014-04-27,15
2014-04-28,13
2014-04-29,11
2014-04-30,13


Top regions for heroes of storm
Region,heroes of storm
Canada,100
Germany,74
United States,66
France,60
Brazil,40


Top cities for heroes of storm
Town/City,heroes of storm
Santiago (Chile),100



Top searches for heroes of storm
blizzard,100
moba,35
hots,30
heroes of newerth,20



Rising searches for heroes of storm
hots,+100%



