Web Search interest: heroes of storm
Worldwide Jan-Feb 2015

Interest over time
Day,heroes of storm
2015-01-01,24
2015-01-02,27
2015-01-03,32
2015-01-04,30
2015-01-05,25
2015-01-06,30
2015-01-07,25
2015-01-08,23
2015-01-09,27
2015-01-10,30
2015-01-11,31
2015-01-12,40
2015-01-13,76
2015-01-14,73
2015-01-15,53
2015-01-16,44
2015-01-17,47
2015-01-18,46
2015-01-19,38
2015-01-20,56
2015-01-21,100
2015-01-22,77
2015-01-23,68
2015-01-24,91
2015-01-25,83
2015-01-26,68
2015-01-27,62
2015-01-28,62
2015-01-29,58
2015-01-30,64
2015-01-31,72
2015-02-01,69
2015-02-02,57
2015-02-03,52
2015-02-04,49
2015-02-05,50
2015-02-06,55
2015-02-07,64
2015-02-08,61
2015-02-09,51
2015-02-10,60
2015-02-11,66
2015-02-12,51
2015-02-13,52
2015-02-14,70
2015-02-15,66
2015-02-16,57
2015-02-17,52
2015-02-18,46
2015-02-19,49
2015-02-20,54
2015-02-21,64
2015-02-22,68
2015-02-23,53
2015-02-24,51
2015-02-25,45
2015-02-26,42
2015-02-27,41
2015-02-28,56


Top regions for heroes of storm
Region,heroes of storm
Chile,100
Sweden,97
France,64
Germany,63
Canada,59
Spain,57
Poland,56
Russia,53
Australia,32
United States,28
United Kingdom,23
Brazil,22
Italy,21


Top cities for heroes of storm
Town/City,heroes of storm
Budapest (Hungary),100
Santiago (Chile),86
Montréal (Canada),76
Stockholm (Sweden),76
Saint Petersburg (Russia),74
Berlin (Germany),68
Moscow (Russia),65
Vienna (Austria),63
Toronto (Canada),61
Barcelona (Spain),59
Paris (France),58
Bucharest (Romania),54
Madrid (Spain),50
Warsaw (Poland),48
Buenos Aires (Argentina),36



Top searches for heroes of storm
hots,100
blizzard,60
heros,40
heroes online,30
battlenet,30
thrall,25
illidan,25
overwatch,25
starcraft,25
valla,20
lost vikings,20
the lost vikings,20
battle net,20
raynor,20
moba,15
founders pack,15
arthas,15
sylvanas,15
tyrande,15
abathur,15
battle.net,15
kerrigan,10
starcraft 2,10
azmodan,10
valla build,10
diablo build,5



Rising searches for heroes of storm
diablo build,Breakout
founders pack,Breakout
lost vikings,+140%
the lost vikings,+130%
thrall,+130%
raynor,+70%
kerrigan,+60%
sylvanas,+60%
tyrande,+50%



