Web Search interest: heroes of the storm
Worldwide Jan-Feb 2014

Interest over time
Day,heroes of the storm
2014-01-01,64
2014-01-02,63
2014-01-03,67
2014-01-04,68
2014-01-05,65
2014-01-06,63
2014-01-07,58
2014-01-08,58
2014-01-09,63
2014-01-10,59
2014-01-11,61
2014-01-12,61
2014-01-13,51
2014-01-14,49
2014-01-15,52
2014-01-16,62
2014-01-17,63
2014-01-18,64
2014-01-19,67
2014-01-20,55
2014-01-21,51
2014-01-22,76
2014-01-23,65
2014-01-24,56
2014-01-25,69
2014-01-26,68
2014-01-27,54
2014-01-28,51
2014-01-29,61
2014-01-30,50
2014-01-31,62
2014-02-01,74
2014-02-02,75
2014-02-03,56
2014-02-04,61
2014-02-05,52
2014-02-06,50
2014-02-07,59
2014-02-08,60
2014-02-09,68
2014-02-10,58
2014-02-11,51
2014-02-12,50
2014-02-13,62
2014-02-14,85
2014-02-15,77
2014-02-16,93
2014-02-17,83
2014-02-18,100
2014-02-19,96
2014-02-20,83
2014-02-21,78
2014-02-22,79
2014-02-23,88
2014-02-24,78
2014-02-25,97
2014-02-26,81
2014-02-27,85
2014-02-28,71


Top regions for heroes of the storm
Region,heroes of the storm
United States,100





Top searches for heroes of the storm
blizzard,100
moba,35



Rising searches for heroes of the storm
heroes of newerth,+70%



