Web Search interest: heroes of the storm
Worldwide Jul-Aug 2014

Interest over time
Day,heroes of the storm
2014-07-01,60
2014-07-02,100
2014-07-03,81
2014-07-04,78
2014-07-05,90
2014-07-06,75
2014-07-07,60
2014-07-08,49
2014-07-09,57
2014-07-10,74
2014-07-11,73
2014-07-12,69
2014-07-13,71
2014-07-14,60
2014-07-15,63
2014-07-16,64
2014-07-17,76
2014-07-18,64
2014-07-19,73
2014-07-20,72
2014-07-21,64
2014-07-22,82
2014-07-23,75
2014-07-24,74
2014-07-25,88
2014-07-26,76
2014-07-27,73
2014-07-28,61
2014-07-29,56
2014-07-30,56
2014-07-31,50
2014-08-01,49
2014-08-02,63
2014-08-03,60
2014-08-04,61
2014-08-05,56
2014-08-06,57
2014-08-07,54
2014-08-08,51
2014-08-09,61
2014-08-10,72
2014-08-11,52
2014-08-12,48
2014-08-13,57
2014-08-14,73
2014-08-15,79
2014-08-16,78
2014-08-17,73
2014-08-18,61
2014-08-19,58
2014-08-20,51
2014-08-21,57
2014-08-22,59
2014-08-23,68
2014-08-24,83
2014-08-25,55
2014-08-26,59
2014-08-27,61
2014-08-28,46
2014-08-29,54
2014-08-30,62
2014-08-31,64


Top regions for heroes of the storm
Region,heroes of the storm
Russia,100
Spain,94
France,69
Germany,63
United States,41
Brazil,35


Top cities for heroes of the storm
City,heroes of the storm
Singapore (Singapore),100
Sydney (Australia),51
Melbourne (Australia),40



Top searches for heroes of the storm
blizzard,100
hots,60
heroes online,50
moba,40
heroes of newerth,20



Rising searches for heroes of the storm
hots,+70%



