Web Search interest: heroes of the storm
Worldwide Mar-Apr 2015

Interest over time
Day,heroes of the storm
2015-03-01,52
2015-03-02,44
2015-03-03,40
2015-03-04,40
2015-03-05,40
2015-03-06,53
2015-03-07,66
2015-03-08,63
2015-03-09,55
2015-03-10,53
2015-03-11,42
2015-03-12,44
2015-03-13,43
2015-03-14,57
2015-03-15,56
2015-03-16,52
2015-03-17,50
2015-03-18,46
2015-03-19,44
2015-03-20,48
2015-03-21,68
2015-03-22,69
2015-03-23,60
2015-03-24,88
2015-03-25,99
2015-03-26,77
2015-03-27,70
2015-03-28,100
2015-03-29,100
2015-03-30,86
2015-03-31,78
2015-04-01,75
2015-04-02,69
2015-04-03,84
2015-04-04,85
2015-04-05,82
2015-04-06,79
2015-04-07,80
2015-04-08,83
2015-04-09,81
2015-04-10,89
2015-04-11,85
2015-04-12,82
2015-04-13,64
2015-04-14,55
2015-04-15,49
2015-04-16,47
2015-04-17,52
2015-04-18,59
2015-04-19,59
2015-04-20,60
2015-04-21,62
2015-04-22,49
2015-04-23,50
2015-04-24,53
2015-04-25,65
2015-04-26,63
2015-04-27,71
2015-04-28,57
2015-04-29,50
2015-04-30,46


Top regions for heroes of the storm
Region,heroes of the storm
Hungary,100
Chile,91
Sweden,90
Poland,70
Romania,69
France,57
Germany,57
Russia,57
Spain,50
Canada,50
Ukraine,42
Netherlands,35
Argentina,33
United States,28
Australia,27
Brazil,25
United Kingdom,23
Italy,21
Turkey,13


Top cities for heroes of the storm
Town/City,heroes of the storm
Budapest (Hungary),100
Santiago (Chile),90
Stockholm (Sweden),75
Bucharest (Romania),71
Saint Petersburg (Russia),70
Berlin (Germany),64
Moscow (Russia),60
Vienna (Austria),60
Warsaw (Poland),60
Toronto (Canada),52
Paris (France),50
Barcelona (Spain),50
Singapore (Singapore),46
Madrid (Spain),46
Buenos Aires (Argentina),37



Top searches for heroes of the storm
hots,100
blizzard,50
sylvanas,40
battlenet,30
heros,30
valla,25
illidan,20
battle net,20
starcraft,15
battle.net,15
overwatch,15
moba,15
arthas,15
zeratul,15
tyrael,15
kerrigan,15
valla build,15
lost vikings,10
tyrande,10
the lost vikings,10
abathur,10
build diablo,10
starcraft 2,10
tychus,10
muradin,10
azmodan,10
tassadar,10
rehgar,5
murky,5
heroes fire,5
heroes nexus,5
zagara,5



Rising searches for heroes of the storm
sylvanas,+250%
valla,+60%
valla build,+60%
battle.net,+40%
build diablo,+40%



